"model","R2","MAE","RMSE","k","q"
"FFRK_lm",0.475019722904961,0.621614424492663,0.827032454175809,30,21
"FFRK_rf",0.508287914117826,0.568496118739284,0.800398931092307,30,21
"FFRK_rpart",0.434260205684354,0.626769466195009,0.858537802751778,30,21
"FFRK_svmRadial",0.411276210293562,0.646092517734473,0.875803852494449,30,21
"FFRK_lm",0.397597446106546,0.677903854395703,0.885919907172111,50,2
"FFRK_rf",0.591077145829663,0.481722849198003,0.72991409498137,50,2
"FFRK_rpart",0.374078299671909,0.690956552113467,0.903048473290752,50,2
"FFRK_svmRadial",0.413688418473083,0.655332701682868,0.874007772791,50,2
"FFRK_lm",0.430574974819466,0.654636228421915,0.861329522836297,50,3
"FFRK_rf",0.469513075812685,0.596846448101739,0.831358612524953,50,3
"FFRK_rpart",0.344257470418468,0.698530893317317,0.924310175926595,50,3
"FFRK_svmRadial",0.426250569822187,0.633837141480186,0.864593949693897,50,3
"FFRK_lm",0.452758576240564,0.64574515744475,0.844385059904803,50,4
"FFRK_rf",0.474623176609575,0.603543073360391,0.82734474662055,50,4
"FFRK_rpart",0.352993002667815,0.695716281773876,0.91813289416776,50,4
"FFRK_svmRadial",0.455367656777128,0.624750257401661,0.842369769488186,50,4
"FFRK_lm",0.443314733024255,0.645698374812539,0.851639746995898,50,5
"FFRK_rf",0.475533917722637,0.602272078402515,0.826627334210969,50,5
"FFRK_rpart",0.35218898451199,0.682214258696529,0.918703186550902,50,5
"FFRK_svmRadial",0.455767537861259,0.635103946220183,0.842060469467884,50,5
"FFRK_lm",0.453437137123964,0.637964331408806,0.843861393043772,50,6
"FFRK_rf",0.460192510877231,0.609327662575278,0.838630225985482,50,6
"FFRK_rpart",0.344136171713627,0.698747478282711,0.92439566103529,50,6
"FFRK_svmRadial",0.45560674171095,0.617885151138551,0.842184855728866,50,6
"FFRK_lm",0.478115170488892,0.624072471845769,0.824590628660792,50,7
"FFRK_rf",0.500583073969987,0.585941925482605,0.806645447424345,50,7
"FFRK_rpart",0.379193348365461,0.685144397676276,0.899351035898948,50,7
"FFRK_svmRadial",0.483570003223411,0.60366471862482,0.820269925115315,50,7
"FFRK_lm",0.438827644773625,0.640961705724347,0.855065123388558,50,8
"FFRK_rf",0.481320235129231,0.594824687599816,0.822054689407226,50,8
"FFRK_rpart",0.345359692803789,0.707369010513528,0.923533023463197,50,8
"FFRK_svmRadial",0.45842159001933,0.623271206124569,0.84000472682108,50,8
"FFRK_lm",0.465477702582351,0.627894026324522,0.834514662449706,50,9
"FFRK_rf",0.483889751108607,0.588261378175281,0.820015950534358,50,9
"FFRK_rpart",0.379022894072757,0.679180661753049,0.899474494404924,50,9
"FFRK_svmRadial",0.452320114422805,0.62767533904634,0.84472326207907,50,9
"FFRK_lm",0.465963186199837,0.624979755034236,0.834135599467239,50,10
"FFRK_rf",0.507085973329698,0.577474547351018,0.801376581397615,50,10
"FFRK_rpart",0.373188011220995,0.68602106334936,0.903690476869897,50,10
"FFRK_svmRadial",0.471678297154406,0.608326793950786,0.829660252140013,50,10
"FFRK_lm",0.441850981137568,0.632405283963182,0.852758665519882,50,11
"FFRK_rf",0.454044449664031,0.6130495817029,0.843392435049634,50,11
"FFRK_rpart",0.351946712632201,0.696544509920921,0.918874961294233,50,11
"FFRK_svmRadial",0.436133977988123,0.627085875185309,0.857114852996138,50,11
