"model","R2","MAE","RMSE","k","q"
"FFRK_lm",0.577650263060215,0.377215117635043,0.485977827776215,50,12
"FFRK_rf",0.615066904370662,0.351843595155494,0.463951910707321,50,12
"FFRK_rpart",0.425733241416011,0.458901430151919,0.566679080343061,50,12
"FFRK_svmRadial",0.6043275941938,0.354843400016743,0.470379323629537,50,12
"FFRK_lm",0.568097141498177,0.383164030653648,0.491633479311101,50,13
"FFRK_rf",0.608207798078018,0.355833483287742,0.468248402641991,50,13
"FFRK_rpart",0.432991226032773,0.447654196250748,0.563304603317468,50,13
"FFRK_svmRadial",0.604219694003599,0.362462556631543,0.470625549507582,50,13
"FFRK_lm",0.535842460020229,0.400827567690934,0.508890705727237,50,14
"FFRK_rf",0.602581631166734,0.360782632915494,0.470886004260683,50,14
"FFRK_rpart",0.429112999130348,0.439533604820302,0.5643738611922,50,14
"FFRK_svmRadial",0.586526194699375,0.374143927966081,0.480303570061999,50,14
"FFRK_lm",0.563854568377744,0.384252320628568,0.494358386214622,50,15
"FFRK_rf",0.595264993006502,0.34969619300096,0.476224381892743,50,15
"FFRK_rpart",0.431493859115466,0.441530472750861,0.564408859239465,50,15
"FFRK_svmRadial",0.588830274432472,0.369934322434071,0.479995103348884,50,15
"FFRK_lm",0.510414580854501,0.4053911603367,0.5234348667376,50,16
"FFRK_rf",0.60313209787971,0.359752981108868,0.471271740537486,50,16
"FFRK_rpart",0.424696884822267,0.455300550771662,0.567409723005423,50,16
"FFRK_svmRadial",0.585748902052709,0.371692258232618,0.481482209418025,50,16
"FFRK_lm",0.53504058719979,0.390350611912513,0.511006021661472,50,17
"FFRK_rf",0.596690433629793,0.351966532166976,0.475924165986395,50,17
"FFRK_rpart",0.378404668323792,0.478934777901549,0.590843371769542,50,17
"FFRK_svmRadial",0.574408505685082,0.375704263344926,0.488894290765271,50,17
"FFRK_lm",0.518436553300949,0.405233367288294,0.519128853314236,50,18
"FFRK_rf",0.599300410275213,0.363603561160094,0.473541297240746,50,18
"FFRK_rpart",0.426831148802539,0.457138469901967,0.566356254549971,50,18
"FFRK_svmRadial",0.579695152507271,0.374539773313431,0.484987572360235,50,18
"FFRK_lm",0.547082946745227,0.387047076750745,0.503476411569546,50,19
"FFRK_rf",0.600659060848824,0.360405826812951,0.472761072408178,50,19
