NewID,DLAT,DLONG,Zn_ppm,Lithology,Lithcode,Dlith,Dfault,Elevation,Slope,Aspect,Water,NDVI,MainRd,Road,Mine,SOC,pH
338,-28.08030,120.47812,71,igneous mafic volcanic,IMV,0.0000,0.3994,473.9744868,0.268714137,263.9083021,0.18118604,0.15443,11.43353909,0.758321815,0.916883824,0.864709441,5.634398451
339,-28.08030,120.47788,106,igneous mafic volcanic,IMV,0.0000,0.3751,473.9744868,0.268714137,263.9083021,0.18118604,0.15443,11.43353909,0.758321815,0.916883824,0.864709441,5.634398451
340,-28.08028,120.47714,116,igneous mafic volcanic,IMV,0.0000,0.2993,470.0616551,0.251896986,268.5723164,0.137917463,0.16081,11.41789851,0.241368414,1.072194966,0.876964301,5.650860745
341,-28.08027,120.47647,54,igneous mafic volcanic,IMV,0.0000,0.2310,470.0616551,0.251896986,268.5723164,0.137917463,0.16081,11.41789851,0.241368414,1.072194966,0.876964301,5.650860745
342,-28.08025,120.47530,69,igneous mafic volcanic,IMV,0.0000,0.1119,470.0616551,0.251896986,268.5723164,0.137917463,0.16081,11.41789851,0.241368414,1.072194966,0.876964301,5.650860745
343,-28.08024,120.47483,78,igneous mafic volcanic,IMV,0.0000,0.0640,470.0616551,0.251896986,268.5723164,0.137917463,0.16081,11.41789851,0.241368414,1.072194966,0.876964301,5.650860745
344,-28.08022,120.47375,88,regolith,RE,0.0459,0.0459,470.0616551,0.251896986,268.5723164,0.137917463,0.16081,11.41789851,0.241368414,1.072194966,0.876964301,5.650860745
345,-28.08019,120.47222,90.15,regolith,RE,0.2016,0.2016,470.0616551,0.251896986,268.5723164,0.137917463,0.16081,11.41789851,0.241368414,1.072194966,0.876964301,5.650860745
346,-28.07991,121.11742,17,regolith,RE,3.0745,12.3093,461.8873341,0.092396449,23.5970536,0.581145384,0.20038,15.42375822,8.359626031,11.0831438,0.778261038,5.588823736
347,-28.07935,120.35138,20,regolith,RE,12.0220,9.3241,469.9248077,0.177912409,127.6432344,1.730734832,0.21061,12.09306079,12.09306079,13.0105836,0.88594466,5.866854731
348,-28.07901,120.48978,100.25,igneous mafic intrusive,IMI,0.0000,1.4955,477.4182861,0.245598348,249.314832,0.218520591,0.15622,10.99263711,0.4601842,0.628448634,0.843147912,5.70869984
349,-28.07827,120.24313,20,regolith,RE,23.8782,20.6725,481.9969108,0.284225713,312.3193769,0.861215411,0.17669,12.56220481,12.56220481,12.72650242,0.896648151,5.898981399
350,-28.07005,120.53245,52,regolith,RE,1.0032,1.1508,493.9479351,0.712280052,231.0230066,0.269188369,0.14069,8.5648676,1.777826124,0.250656405,0.784391186,5.60308681
351,-28.06836,120.21249,16,regolith,RE,25.2656,24.2470,471.6362204,0.209711051,322.1070055,0.520839383,0.17626,12.10927433,12.10927433,13.36553951,0.891489616,5.847373591
352,-28.06813,120.95965,25,regolith,RE,3.1341,5.2771,487.203751,0.095713617,72.01521221,0.190713551,0.20915,7.047554998,3.030843423,4.845339161,0.886907373,5.580459668
353,-28.06763,121.15795,39,regolith,RE,0.2426,16.6033,460.622361,0.128043645,214.715604,4.209072905,0.20121,18.75434638,10.04960939,12.12131417,0.902966428,5.57701686
354,-28.06725,120.70928,32,regolith,RE,6.5708,11.1014,506.0149428,0.426654832,38.47850144,0.009153992,0.14872,11.54094596,6.550586873,4.255864144,0.831680874,5.591908425
355,-28.06658,120.33782,10,regolith,RE,13.7804,11.2551,476.4715486,0.197574896,133.6697332,0.243677115,0.20984,10.8662329,10.8662329,11.40940148,0.868316347,5.929501954
356,-28.06638,120.88164,6,regolith,RE,5.0210,6.8735,507.5348367,0.17550056,139.6523109,2.712708562,0.18252,0.092672883,0.092672883,10.74083643,0.949889384,5.553318147
357,-28.06449,120.64849,64,regolith,RE,0.4759,7.1089,493.9710837,0.11832413,182.6333756,0.997094322,0.14539,9.732709392,2.514508287,2.344977129,0.758813376,5.780307302
358,-28.06350,120.51741,77.45,regolith,RE,0.7722,2.9667,494.1453086,0.396375336,221.4984177,0.909056707,0.14876,8.058150194,0.532727225,1.991880663,0.80305135,5.865491798
359,-28.06170,121.07704,12,regolith,RE,7.2601,7.7720,462.0723877,0.085971053,63.76463446,2.666947574,0.21074,14.45505446,4.280478233,8.505709994,0.82210075,5.64209733
360,-28.06020,121.03088,9,regolith,RE,6.8044,2.6783,472.8819816,0.145683647,83.39041933,1.094851646,0.2087,12.26374055,1.069473415,5.922032152,0.849397954,5.657936934
361,-28.05960,120.29958,20,regolith,RE,18.0915,15.4764,488.6583116,0.243668064,108.9277241,0.081435835,0.21265,9.847359482,9.847359482,9.899882332,0.886695851,5.768060185
362,-28.05714,120.92386,32,regolith,RE,4.9544,7.8696,496.9639846,0.223889471,112.6194475,0.442195399,0.20027,4.504340212,4.504340212,7.411572077,0.910748014,5.656247752
363,-28.05683,121.20462,9,regolith,RE,5.5539,20.6431,465.507763,0.255905466,332.5145997,2.656987322,0.18922,22.59299725,9.356382763,12.07443292,0.947945171,5.522669893
364,-28.05573,120.41687,26,regolith,RE,5.6374,3.7999,470.1959124,0.218401849,172.5781857,2.219695342,0.20447,9.876361121,6.573874469,7.580859846,0.932695033,5.795944052
